country,volume
BE,185071
BG,39273687
BA,5458
BB,25261
BM,16724
JP,307917
JM,97999
BR,16165480
BS,159681
BY,11845862
RS,16729194
RE,16687
RO,850490
GT,66217
GR,1962443
GP,1878
GY,75840
GF,257
GE,66994272
GD,2664
GB,50792198
TN,337
HR,85574
HU,4898195
PR,3283725
PT,8856010
PA,214348
PE,68777
PL,2197483
EE,586475
ZA,94566249
ES,385975547
ME,2703667
MD,55802933
MA,1912
UZ,24865669
MN,15741
MK,4381255
MU,2068
MT,1845
MQ,1062
UA,216230161
MX,5925303
IL,539375
FR,193988521
FI,6165365
NI,32305
NL,629486
NO,11388
NZ,2024020
CH,182387
CO,2594
CN,27780
CL,53348368
CA,8685846
CZ,1214081
CY,1833894
UY,15977619
CU,730171
KG,21511
SR,4855
SK,265759
KR,9448
SI,53376
SC,419
KZ,526372
SG,1054
SE,2665544
DO,231246
DK,554549
DE,46883357
US,15914010
LB,7252
LC,3074
TT,10340
TR,17060
LV,833638
LT,641576
LU,7344
TH,13857
AB,48207364
VE,25065
IS,2255
IR,457
AM,44892531
IT,295694048
AR,34787838
AU,24582377
AT,1279767
IN,177676
AZ,18979595
IE,6073680
